Coin,Name_Pair,Price,Volume
BTC,BTCUSDT,48572.52000000,35469.37927700
ETH,ETHUSDT,3167.83000000,372875.75787000
BNB,BNBUSDT,443.55000000,1151013.03670000
LTC,LTCUSDT,181.99000000,900977.15845000
ADA,ADAUSDT,2.58760000,450392890.33000000
XRP,XRPUSDT,1.20420000,355145282.90000000
EOS,EOSUSDT,5.30000000,21551023.18000000
MIOTA,IOTAUSDT,1.14130000,27094890.41000000
XLM,XLMUSDT,0.36550000,130489833.60000000
TRX,TRXUSDT,0.08698000,603343518.80000000
VET,VETUSDT,0.12599000,1065607238.80000000
LINK,LINKUSDT,27.29600000,4151358.79800000
XMR,XMRUSDT,289.37000000,144872.53436000
THETA,THETAUSDT,7.23200000,12286816.56700000
ATOM,ATOMUSDT,21.58900000,7358735.10200000
DOGE,DOGEUSDT,0.31065000,1357568816.60000000
BUSD,BUSDUSDT,0.99920000,623881592.03000000
BCH,BCHUSDT,659.79000000,67337.72896000
FTT,FTTUSDT,49.47700000,1079917.93600000
SOL,SOLUSDT,73.22100000,2867069.54400000
DOT,DOTUSDT,27.02100000,12462404.14100000
FIL,FILUSDT,76.43000000,3599898.16820000
XEM,XEMUSDT,0.20130000,48201649.68000000
SHIB,SHIBUSDT,0.00000814,8180352997256.00
