Coin,Name_Pair,Price,Volume
USDT,USD-USDT,1.00065,2421818.71998124
ADA,USD-ADA,2.58988,4031043.13466746
ETH,USD-ETH,3171.679,2399.47633885
DOGE,USD-DOGE,0.31102,4890049.45511353
FIL,USD-FIL,76.25,215.87672922
LINK,USD-LINK,27.25559679,8547.52546991
MIOTA,USD-IOTA,1.117,10324.70005932
BCH,USD-BCH,659.982,134.06834051
BTC,USD-BTC,48608.7,150.75218091
TRX,USD-TRX,0.0868,568127.79348038
CRO,USD-CRO,0.15488,18432.3590642
XRP,USD-XRP,1.20513,806830.83457679
DOT,USD-DOT,26.776,8631.52859589
XEM,USD-XEM,0.20102,280481.49048449
XLM,USD-XLM,0.36499694,507306.80024634
LTC,USD-LTC,182.143,2215.73948073
EOS,USD-EOS,5.28080439,14721.91428079
ATOM,USD-ATOM,21.55843096,42550.94097046
