Coin,Name_Pair,Price,Volume
BTC,BTC:USD,48508.4,87.08555953
ETH,ETH:USD,3164.38,2690.74357700
BCH,BCH:USD,658.87,767.05807631
LTC,LTC:USD,181.695,10877.43662898
XRP,XRP:USD,1.20384,2898419.921661
XLM,XLM:USD,0.36494,1435001.4087478
TRX,TRX:USD,0.086763,4690166.951761
ADA,ADA:USD,2.580764,1556946.716620
ATOM,ATOM:USD,21.5456,37894.345082
USDT,USDT:USD,0.9994,311802.740938
LINK,LINK:USD,27.284,26828.504886
DOT,DOT:USD,27.059,45924.388959
BUSD,BUSD:USD,0.9988,4619.037844
BNB,BNB:USD,443.1236,517.441747
DOGE,DOGE:USD,0.31023,764508.678182
SOL,SOL:USD,72.9528,2616.837810
