Coin,Name_Pair,Price,Volume
CRO,crousdt,0.153701,0
DOGE,dogeusdt,0.310576,0
XMR,xmrusdt,289.26,0
DOT,dotusdt,27.0224,0
LINK,linkusdt,27.2709,0
TRX,trxusdt,0.086978,0
ETH,ethusdt,3166.15,0
BTC,btcusdt,48560.71,0
MIOTA,iotausdt,1.1149,0
EOS,eosusdt,5.2958,0
BCH,bchusdt,659.7,0
ATOM,atomusdt,21.5829,0
BSV,bsvusdt,161.3619,0
XEM,xemusdt,0.2015,0
XLM,xlmusdt,0.365335,0
XRP,xrpusdt,1.2033,0
VET,vetusdt,0.126017,0
ADA,adausdt,2.586374,0
FIL,filusdt,76.4103,0
USDT,usdthusd,1.0008,0
FTT,fttusdt,49.4765,0
SHIB,shibusdt,0.00000814,0
LTC,ltcusdt,181.92,0
THETA,thetausdt,7.2296,0
SOL,solusdt,73.2382,0
