Coin,Name_Pair,Price,Volume
BTC,XXBTZUSD,48605.20000,1262.19477521
ETH,XETHZUSD,3171.16000,14943.72574542
BCH,BCHUSD,660.300000,1480.02113446
ADA,ADAUSD,2.590545,16512695.74745669
LINK,LINKUSD,27.308420,180992.26951275
ATOM,ATOMUSD,21.589500,268106.18123480
DOGE,XDGUSD,0.311059900,23072931.66819831
EOS,EOSUSD,5.303200,269505.40578690
LTC,XLTCZUSD,182.25000,24248.38576190
XMR,XXMRZUSD,289.90000000,15907.06729631
DOT,DOTUSD,27.05990,456361.18960418
XRP,XXRPZUSD,1.20638000,6787132.46240562
SOL,SOLUSD,73.36000,93553.96276276
XML,XXLMZUSD,0.36554000,6617028.73717858
USDT,USDTZUSD,1.00080000,81257480.36139536
TRX,TRXUSD,0.0870900,4954497.67378139
FIL,FILUSD,76.43700,42317.20001121
