Coin,Name_Pair,Price,Volume
BCH,BCH-USDT,659.43,3671.58956849
TRX,TRX-USDT,0.08695,37989762.40983589
DOGE,DOGE-USDT,0.31074,88229328.33758192
DOT,DOT-USDT,27.0137,623847.52297179
EOS,EOS-USDT,5.2957,1838156.22000805
BTC,BTC-USDT,48557.1,5575.22363275
ADA,ADA-USDT,2.587416,45481287.26744304
USDT,USDT-USDC,1.0009,4440245.46606758
XMR,XMR-USDT,289.83,9117.76750903
ATOM,ATOM-USDT,21.5942,795818.51997453
ETH,ETH-USDT,3166.66,55432.11365802
CRO,CRO-USDT,0.1536,3585442.672672
SOL,SOL-USDT,73.285,58274.1889964
XRP,XRP-USDT,1.204,58777158.51541207
BNB,BNB-USDT,443.398,35450.84821404
VET,VET-USDT,0.1258958,148743026.08470495
SHIB,SHIB-USDT,0.00000815,465982705815.549902
THETA,THETA-USDT,7.2327,439201.46365155
LTC,LTC-USDT,182,63502.98738985
LINK,LINK-USDT,27.2749,227054.76219441
FIL,FIL-USDT,76.3674,79878.50429542
XLM,XLM-USDT,0.365475,17048907.12343627
XEM,XEM-USDT,0.201352,1125663.5482343
