coin,Average Price,MarketCap,Volume,Rank,Percentage,Price Change
BTC,"45,888.91","862,213,713,535","3,673,169,882.38",862213713535.2999,0.38,bull
ETH,"3,175.01","371,936,864,875","3,369,462,463.01",371936864874.643,0.32,bull
BNB,421.09,"65,073,935,375","799,778,194.84",65073935374.70772,0.40,bull
BUSD,0.99925,"11,892,611,314","990,657,693.04",11892611314.209517,0.01,bull
BCH,672.71,"12,660,794,526","102,911,230.46",12660794526.231512,1.04,bull
ADA,2.05,"66,000,199,664","934,233,628.01",66000199663.79273,0.00,neutral
LINK,28.16,"12,561,308,512","459,393,334.61",12561308512.069365,-0.25,bear
ATOM,16.41,"4,558,759,371","116,517,973.17",4558759370.522433,-0.18,bear
CRO,0.14738,"3,723,347,168","440,798.54",3723347167.9726,-0.26,bear
DOGE,0.32074,"41,984,596,645","1,495,086,011.46",41984596644.77099,1.03,bull
EOS,5.37,"5,178,077,512","249,714,839.52",5178077511.767181,0.94,bull
FTT,45.40,"4,820,930,955","349,126,656.23",4820930955.139537,0.27,bull
MIOTA,1.08,"3,001,962,194","28,700,897.31",3001962194.197064,0.93,bull
LTC,177.68,"11,860,782,554","201,376,335.92",11860782554.06609,0.61,bull
XMR,266.49,"4,790,208,208","31,245,398.42",4790208208.200287,-0.76,bear
XEM,0.20772,"1,869,552,000","17,690,686.95",1869551999.7922723,0.41,bull
DOT,25.47,"26,032,899,478","911,446,626.03",26032899477.6953,1.27,bull
XRP,1.18,"54,814,086,888","1,474,468,563.99",54814086887.50413,1.72,bull
SOL,66.54,"19,059,598,449","1,220,549,653.69",19059598449.23457,-4.77,bear
XLM,0.36552,"8,600,324,513","136,041,864.30",8600324513.333305,-0.36,bear
USDT,1.00,"64,304,280,797","271,282,788.68",64304280797.10283,0.01,bull
THETA,7.71,"7,711,233,333","161,979,362.45",7711233333.333333,0.52,bull
TRX,0.08950,"6,414,060,611","123,796,400.24",6414060611.473984,0.43,bull
VET,0.12662,"8,453,689,022","245,857,945.93",8453689022.209019,-0.37,bear
FIL,72.84,"7,093,733,774","235,584,229.66",7093733774.489743,0.47,bull
SHIB,8.73,"4,348,509,545","269,751,784.68",4348509545.127557,0.34,bull
