coin,Average Price,MarketCap,Volume,Rank,Percentage,Price Change
BTC,"45,656.23","857,925,433,977","3,674,070,066",857925433977.1012,1.82,bull
ETH,"3,046.11","356,918,586,547","2,748,028,987",356918586546.96265,0.35,bull
BNB,420.39,"64,964,613,118","786,410,687",64964613118.23193,3.00,bull
BUSD,0.99985,"12,003,982,748","1,119,134,996",12003982747.747707,0.05,bull
BCH,640.51,"12,055,855,123","80,182,841",12055855122.884762,-1.37,bear
ADA,2.22,"71,416,389,413","1,677,180,841",71416389412.83646,12.12,bull
LINK,25.95,"11,575,260,057","325,190,571",11575260056.514105,-1.44,bear
ATOM,18.60,"5,167,348,442","363,200,545",5167348441.949556,15.67,bull
CRO,0.14369,"3,630,227,700","285,949",3630227699.503888,0.52,bull
DOGE,0.30202,"39,542,816,487","1,046,908,733",39542816487.28512,-0.76,bear
EOS,5.00,"4,815,135,724","160,502,863",4815135723.859173,-2.53,bear
FTT,47.11,"5,002,674,991","61,412,351",5002674990.9623,6.27,bull
MIOTA,1.00,"2,801,974,990","25,183,661",2801974990.3152285,-0.99,bear
LTC,169.88,"11,340,082,493","172,396,171",11340082493.017395,-0.62,bear
XMR,256.83,"4,616,893,395","25,131,642",4616893394.718028,-0.36,bear
XEM,0.19201,"1,728,157,500","11,900,782",1728157499.8079827,-4.11,bear
DOT,25.36,"25,925,404,668","579,267,989",25925404667.85614,6.55,bull
XRP,1.13,"52,889,085,223","1,094,929,888",52889085223.34622,0.89,bull
SOL,71.74,"20,551,865,567","978,067,202",20551865567.39961,10.45,bull
XLM,0.34919,"8,227,468,356","123,879,205",8227468356.450469,0.97,bull
USDT,0.99998,"64,457,626,428","214,376,185",64457626428.04957,-0.0,bear
THETA,6.88,"6,889,366,667","109,185,963",6889366666.666667,-2.41,bear
TRX,0.08523,"6,107,661,985","90,805,982",6107661984.555264,-1.4,bear
VET,0.11943,"7,973,607,524","199,204,526",7973607524.472312,0.61,bull
FIL,67.79,"6,650,926,023","129,049,122",6650926023.4728,-4.84,bear
SHIB,8.05,"4,010,052,488","105,077,028",4010052487.8188887,-0.74,bear
