coin,Average Price,MarketCap,Volume,Rank,24 hour Percentage,24hour Price Change,7day Percentage,7day Price Change,1 month Percentage,1 month Price Change,2021-08-19-16:08:00,2021-08-19-16:08:10,2021-08-19-16:10:10,2021-08-19-16:10:20,2021-08-19-16:10:30,2021-08-19-16:10:40,2021-08-19-16:10:50,2021-08-19-16:11:00,2021-08-19-16:11:10,2021-08-19-16:11:20,2021-08-19-16:11:30,2021-08-19-16:11:40,2021-08-19-16:11:50
BTC,"44,707.28","840,024,392,424","4,018,672,025",840024392424.2567,-0.39,bear,-0.3,bear,-2.57,bear,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43,45716.43
ETH,"3,017.36","353,479,818,686","3,856,045,470",353479818685.5948,-1.01,bear,-0.6,bear,-4.97,bear,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94,3164.94
BNB,404.29,"62,477,723,663","827,982,507",62477723662.69216,-0.87,bear,-0.95,bear,-3.99,bear,419.40,419.40,419.40,419.40,419.40,419.40,419.40,419.40,419.40,419.40,419.40,419.40,419.40
BUSD,0.99945,"11,885,297,326","1,209,072,850",11885297325.87982,0.00,neutral,0.01,bull,0.02,bull,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920,0.99920
BCH,639.59,"12,037,481,329","111,165,293",12037481329.383007,-1.63,bear,-1.51,bear,-4.92,bear,665.81,665.81,665.81,665.81,665.81,665.81,665.81,665.81,665.81,665.81,665.81,665.81,665.81
ADA,1.92,"61,810,982,254","1,064,780,593",61810982254.08986,-2.54,bear,-3.03,bear,-6.34,bear,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05
LINK,26.18,"11,678,919,972","422,962,027",11678919971.57856,-1.65,bear,-0.57,bear,-7.03,bear,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23
ATOM,16.07,"4,462,780,658","140,285,672",4462780658.321936,-2.43,bear,-0.06,bear,-2.07,bear,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44
CRO,0.14191,"3,585,301,640","432,391",3585301640.1549478,-0.68,bear,-0.72,bear,-3.71,bear,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777,0.14777
DOGE,0.30054,"39,339,590,361","1,374,840,385",39339590360.50931,-1.69,bear,-1.25,bear,-6.3,bear,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746,0.31746
